Image,Date,Place,PM 2.5,PM 10,Blue,Gradient,Transmisiion,im contrast,roi contrast,entropy,Humidity,hsv,Time,log,Weather
531.jpg,28.5.18,Maya Enclave,120.05,291.5,0.942475703,0,0.009986927,0.000998917,5.216880227,7.016750406,31,21.0415315,07:13 AM,-4.606478341,haze
532.jpg,28.5.18,Maya Enclave,101.18,236.35,0.953713009,0.340422123,0.009954913,0.001042675,7.228960094,7.196633554,12,40.50172881,05:36 PM,-4.609689081,haze
533.jpg,28.5.18,Maya Enclave,90.65,228.34,0.993253543,0,0.009690942,0.000931602,9.674396102,6.459764508,14,16.47620383,07:02 PM,-4.636563644,haze
534.jpg,29.5.18,Maya Enclave,136.32,326.58,0.800126274,0.680844247,0.009744714,0.001107053,2.942319919,7.620630081,32,49.10569106,07:27 AM,-4.631030295,haze
535.jpg,29.5.18,Maya Enclave,100.68,222.45,0.944422326,0,0.009986958,0.001103194,0.644805568,7.226396865,10,93.42699614,02:49 PM,-4.606475237,haze
536.jpg,29.5.18,Maya Enclave,60.36,180.83,0.96071568,0,0.009897339,0.001198393,11.13047802,6.841496411,10,51.53470303,05:42 PM,-4.615489346,haze
537.jpg,30.5.18,Maya Enclave,48.47,234.37,0.978615732,0,0.009983295,0.000872538,2.541670319,6.628096777,48,11.35291762,06:51 AM,-4.606842083,widespread dust
538.jpg,30.5.18,Maya Enclave,51.82,147.97,0.913985682,0,0.009982973,0.001205609,11.93209878,7.343274331,30,37.41229792,02:24 PM,-4.606874337,widespread dust
539.jpg,31.5.18,Maya Enclave,63.61,283.59,0.933703832,0,0.009857609,0.000584426,6.549448153,6.885946015,57,39.07228964,07:25 AM,-4.619511635,haze
540.jpg,31.5.18,Maya Enclave,51.76,139.7,0.918203147,0,0.009771893,0.001090487,10.81832328,6.885585821,21,83.24375559,02:57 PM,-4.628245075,haze
541.jpg,31.5.18,Maya Enclave,89.2,216.35,0.998482615,0,0.009223046,0.000881233,2.508162084,6.60671022,24,9.60942235,06:34 PM,-4.686049927,haze
542.jpg,1.6.18,Maya Enclave,76.01,182.12,0.941037946,0,0.009579063,0.000900432,5.892150229,6.876694119,59,29.58728824,07:37 AM,-4.6481755,haze
543.jpg,4.6.18,Maya Enclave,60.22,153.84,0.922678239,0,0.009992561,0.000977932,6.763113257,7.376452789,34,66.69673061,01:15 PM,-4.605914363,widespread dust
544.jpg,4.6.18,Maya Enclave,93.89,423.87,0.964037969,0,0.009989408,0.001185367,6.164607815,7.138655896,31,69.00400497,06:07 PM,-4.606229947,haze
